DATE,BCNSDODNS_GDP
1991-04-01,0.41890334725998398528
1991-07-01,0.41125119381650184332
1991-10-01,0.40332410679794526015
1992-01-01,0.39808068454662521519
1992-04-01,0.39159153255960695825
1992-07-01,0.38743324022129426597
1992-10-01,0.38094223104617813158
1993-01-01,0.38213547329733341120
1993-04-01,0.38327645467230650767
1993-07-01,0.38520491861638703779
1993-10-01,0.38362881533356392839
1994-01-01,0.38652157244339661355
1994-04-01,0.38547834938679559665
1994-07-01,0.38724252582329330964
1994-10-01,0.38738221782981422046
1995-01-01,0.39165099878507725507
1995-04-01,0.39713536359399693734
1995-07-01,0.39626428048482876434
1995-10-01,0.39806764441075338375
1996-01-01,0.39697371839092438325
1996-04-01,0.39590418830699976596
1996-07-01,0.39629459006361505904
1996-10-01,0.39277311683338436380
1997-01-01,0.39406277073489220828
1997-04-01,0.39466546149263542801
1997-07-01,0.39914436668046894182
1997-10-01,0.40175249406593065612
1998-01-01,0.40854747317988649385
1998-04-01,0.41672702729489584879
1998-07-01,0.41902657103635670139
1998-10-01,0.42064308002880570898
1999-01-01,0.42759710750958224045
1999-04-01,0.43005465972301681361
1999-07-01,0.43850820708882535570
1999-10-01,0.43552266633024143325
2000-01-01,0.44282810775532011575
2000-04-01,0.44274140979652059190
2000-07-01,0.44572450624699256118
2000-10-01,0.44633358196598153423
2001-01-01,0.44515808677000536091
2001-04-01,0.44764892914425889235
2001-07-01,0.45099141160329948424
2001-10-01,0.44968535612658547258
2002-01-01,0.44567969583159456577
2002-04-01,0.44039978103249059009
2002-07-01,0.43569142137137155364
2002-10-01,0.43298223656916784652
2003-01-01,0.42839464266073892650
2003-04-01,0.42308538866622009153
2003-07-01,0.41687299947806926955
2003-10-01,0.40855516463570126112
2004-01-01,0.40906140648757024709
2004-04-01,0.40287868674622703311
2004-07-01,0.40152911260157913980
2004-10-01,0.39848197691841138820
2005-01-01,0.39574009699477242070
2005-04-01,0.39602594079730977904
2005-07-01,0.39257030664001956380
2005-10-01,0.39477990580150228862
2006-01-01,0.39462834469187802776
2006-04-01,0.39776102300052699604
2006-07-01,0.39741097957720544235
2006-10-01,0.40350865696645763827
2007-01-01,0.40771048754643737385
2007-04-01,0.41549527353059092428
2007-07-01,0.42492600134975570438
2007-10-01,0.43051627795146984810
2008-01-01,0.43864415948879335164
2008-04-01,0.44190960116848845540
2008-07-01,0.44537837743327588652
2008-10-01,0.45110687087697546475
2009-01-01,0.45154803570476992393
2009-04-01,0.44896954615027526146
2009-07-01,0.43992400242454744942
2009-10-01,0.42188481145087435555
2010-01-01,0.41737496504310204989
2010-04-01,0.40731197521954490172
2010-07-01,0.40572469034821605768
2010-10-01,0.39707550966326661450
2011-01-01,0.39669629775544241962
2011-04-01,0.39746701517946127070
2011-07-01,0.40095129751175269997
2011-10-01,0.40283117308905347953
2012-01-01,0.39947721127569758683
2012-04-01,0.40013617463425048112
2012-07-01,0.40535113122061038485
2012-10-01,0.41148125263315978077
2013-01-01,0.40926619379940525767
2013-04-01,0.41405388683803534598
2013-07-01,0.41888028597602469578
2013-10-01,0.41825041262201372150
2014-01-01,0.42458385977224708344
2014-04-01,0.42243849649163706214
2014-07-01,0.42217799501747906398
